continent,country,last_updated_day,gust_mph,visibility_km,uv_index,air_quality_Ozone
Africa,Morocco,2023-08-29,8.5,5.0,6,85.8
Africa,Morocco,2023-08-30,10.5,5.0,1,88.0
Africa,Morocco,2023-08-31,2.5,5.0,1,107.3
Africa,Morocco,2023-09-01,9.6,5.0,1,111.6
Africa,Morocco,2023-09-02,14.1,5.0,1,75.1
Africa,Morocco,2023-09-03,9.8,5.0,1,75.1
Africa,Morocco,2023-09-04,9.2,5.0,1,88.7
Africa,Morocco,2023-09-05,3.8,5.0,1,74.4
Africa,Morocco,2023-09-06,7.8,5.0,1,85.8
Africa,Morocco,2023-09-07,6.3,5.0,1,94.4
Africa,Morocco,2023-09-08,3.8,5.0,1,87.25
America,Bahamas,2023-08-29,17.0,10.0,1,42.55
America,Bahamas,2023-08-30,23.0,10.0,8,42.2
America,Bahamas,2023-08-31,4.0,10.0,8,41.8
America,Bahamas,2023-09-01,15.9,10.0,7,86.6
America,Bahamas,2023-09-02,24.2,10.0,7,94.4
America,Bahamas,2023-09-03,22.8,10.0,7,103.0
America,Bahamas,2023-09-04,17.2,10.0,7,114.4
America,Bahamas,2023-09-05,16.6,10.0,7,100.1
America,Bahamas,2023-09-06,15.7,10.0,7,108.7
America,Bahamas,2023-09-07,14.1,10.0,7,83.7
America,Bahamas,2023-09-08,15.0,10.0,7,69.4
America,Haiti,2023-08-29,8.95,9.0,1,28.8
America,Haiti,2023-08-30,2.9,10.0,6,26.5
America,Haiti,2023-08-31,3.4,10.0,6,55.1
America,Haiti,2023-09-01,5.6,9.0,6,68.7
America,Haiti,2023-09-02,2.0,9.0,6,220.3
America,Haiti,2023-09-03,2.9,9.0,7,134.5
America,Haiti,2023-09-04,4.9,8.0,7,18.1
America,Haiti,2023-09-05,0.4,7.0,1,70.1
America,Haiti,2023-09-06,4.5,9.0,1,128.8
America,Haiti,2023-09-07,3.8,9.0,1,200.3
America,Haiti,2023-09-08,9.8,9.0,7,155.9
America,Mexico,2023-08-29,6.5,16.0,1,20.25
America,Mexico,2023-08-30,10.5,13.0,6,167.4
America,Mexico,2023-08-31,11.4,1.6,5,117.3
America,Mexico,2023-09-01,9.6,9.7,6,266.1
America,Mexico,2023-09-02,5.4,13.0,7,101.6
America,Mexico,2023-09-03,4.0,6.4,6,131.6
America,Mexico,2023-09-04,5.8,13.0,7,113.0
America,Mexico,2023-09-05,5.8,14.0,7,124.5
America,Mexico,2023-09-06,4.7,9.7,6,118.7
America,Mexico,2023-09-07,6.5,13.0,6,197.4
America,Mexico,2023-09-08,9.8,16.0,6,128.8
America,United States of America,2023-08-29,16.65,16.0,1,62.6
America,United States of America,2023-08-30,14.3,16.0,7,73.7
America,United States of America,2023-08-31,2.7,16.0,4,73.0
America,United States of America,2023-09-01,6.7,16.0,7,95.8
America,United States of America,2023-09-02,4.9,16.0,8,107.3
America,United States of America,2023-09-03,12.1,16.0,7,87.3
America,United States of America,2023-09-04,1.6,16.0,6,90.8
America,United States of America,2023-09-05,6.5,16.0,6,94.4
America,United States of America,2023-09-06,4.5,16.0,7,111.6
America,United States of America,2023-09-07,3.8,16.0,6,98.7
America,United States of America,2023-09-08,4.7,16.0,7,105.9
Asia,Bahrain,2023-08-29,10.1,10.0,9,254.6
Asia,Bahrain,2023-08-30,7.6,10.0,1,100.1
Asia,Bahrain,2023-08-31,12.1,10.0,1,150.2
Asia,Bahrain,2023-09-01,26.8,10.0,1,154.5
Asia,Bahrain,2023-09-02,17.7,10.0,1,121.6
Asia,Bahrain,2023-09-03,8.3,10.0,1,93.0
Asia,Bahrain,2023-09-04,3.4,8.0,1,128.8
Asia,Bahrain,2023-09-05,7.4,10.0,1,240.3
Asia,Bahrain,2023-09-06,4.7,9.0,1,174.5
Asia,Bahrain,2023-09-07,9.2,4.5,1,91.6
Asia,Bahrain,2023-09-08,14.3,7.0,1,135.9
Asia,Cyprus,2023-08-29,5.8,10.0,8,110.2
Asia,Cyprus,2023-08-30,2.2,10.0,1,52.2
Asia,Cyprus,2023-08-31,11.0,10.0,1,88.0
Asia,Cyprus,2023-09-01,12.3,10.0,1,70.8
Asia,Cyprus,2023-09-02,5.8,10.0,1,64.4
