country,continent,temperature_celsius,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,air_quality_condition,human_health_risk,remarks                                                                                                                  
Afghanistan,Asia,18.06666667,2.616666667,4.258333333,33.58333333,16.08333333,0.05,0.001666667,1009.8333333333300,29.815,10,6,1.916666667,3.6,5.791666667,918.4833333333330,64.81666667,7.408333333,0.591666667,14.63333333,25.675,1.333333333,1.583333333,80.58333333,Unhealthy,Serious,Industrial Emissions   Conflicts                                                                                                                  
Albania,Europe,21.25,4.258333333,6.866666667,73.41666667,41.66666667,0.375,0.015,1013.3333333333300,29.92166667,10,6,1.416666667,9.233333333,14.88333333,247,48.79166667,4.458333333,0.541666667,7.975,10.49166667,1.166666667,1.333333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Algeria,Africa,24.83333333,5.6,9.008333333,68.41666667,33.33333333,0.533333333,0.020833333,1014.0833333333300,29.945,9.291666667,5.5,1.5,12.53333333,20.16666667,273.275,65.93333333,18.44166667,4.158333333,18.725,82.00833333,1.25,1.916666667,80.58333333,Satisfactory,Low,None                                                                                                                  
Andorra,Europe,10.83333333,3.4,5.491666667,72.25,22.91666667,0.1,0.003333333,1019.9166666666700,30.11416667,9.25,5.5,1.25,5.783333333,9.333333333,172.7416667,53.41666667,1.466666667,0.375,4.3,12.45,1,1.083333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Angola,Africa,22,5.483333333,8.816666667,87.66666667,54.16666667,0.008333333,0,1014.5,29.955,9,5,1.416666667,9.758333333,15.69166667,589.9583333333330,65.75833333,7.45,4.45,19.16666667,37.55,1.25,1.75,80.58333333,Moderate,Concerning,None                                                                                                                  
Antigua and Barbuda,America,28.5,7.208333333,11.575,76.66666667,42.66666667,0.066666667,0.001666667,1014,29.94,10,6,1.416666667,19.44166667,31.29166667,209.875,33.85,0.8,0.758333333,3.191666667,7.758333333,1,1,80.58333333,Satisfactory,Low,None                                                                                                                  
Argentina,America,12.41666667,8.108333333,13.05,71.5,14.58333333,0.025,0.000833333,1016.5833333333300,30.01916667,10,6,1,11.51666667,18.53333333,467.025,28.23333333,24.025,8.108333333,5.525,7.566666667,1.083333333,1.083333333,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Armenia,Asia,23.75,6,9.658333333,42.41666667,4.166666667,0,0,1011.8333333333300,29.87666667,10,6,1.916666667,10.78333333,17.375,201.8166666666670,49.05,3.35,0.475,5.358333333,9.375,1.083333333,1.166666667,80.58333333,Satisfactory,Low,None                                                                                                                  
Australia,Australia,9.916666667,9.516666667,15.29166667,66.16666667,25,0.016666667,0.000833333,1018.75,30.0825,10,6,3.166666667,7.833333333,12.60833333,228.7833333333330,34.75833333,4.325,0.55,3.15,4.666666667,1,1.083333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Austria,Europe,15.83333333,5.883333333,9.45,76.83333333,10.41666667,0.008333333,0,1018.3333333333300,30.0725,10,6,1.25,8.341666667,13.44166667,422.6666666666670,24.94166667,23.30833333,2.308333333,9.783333333,12.4,1.083333333,1.416666667,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Azerbaijan,Asia,24.375,8.591666667,13.825,68.91666667,14,0,0,1012.1666666666700,29.88666667,10,6,1.5,12.98333333,20.90833333,241.7166667,67.80833333,7.05,1.066666667,9.041666667,27.55833333,1.25,1.333333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Bahamas,America,29.73333333,10.24166667,16.51666667,69.41666667,50.66666667,0,0,1013.8333333333300,29.9375,10,6,6.166666667,16.875,27.15,236.8583333,77.45,1.35,1.525,4.2,9.525,1,1.083333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Bahrain,Asia,34.08333333,6.133333333,9.85,66.75,0,0,0,1001.6666666666700,29.58,9.041666667,5.25,1.666666667,10.49166667,16.85,350.7583333333330,147.225,7.008333333,13.85833333,51.73333333,104.4416667,2.916666667,5.666666667,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Bangladesh,Asia,28.625,5.175,8.308333333,78,58.08333333,0.091666667,0.003333333,1003.1666666666700,29.62583333,9.916666667,5.916666667,2.083333333,7.908333333,12.73333333,791.3416666666670,23.1,20.26666667,8.65,58.45,66.05833333,2.916666667,6.083333333,80.58333333,Unhealthy,Serious,Population Density   Brick Kilns                                                                                                                  
