country,continent,wind_direction,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph
Afghanistan,Asia,ENE,7.2,11.5,19.0,0.0,0.0,0.0,1004.0,29.64,10.0,6.0,7.0,8.3,13.3
Afghanistan,Asia,NNW,2.2,3.6,25.25,23.0,0.025,0.0,1010.75,29.8425,10.0,6.0,1.0,3.8,6.125
Afghanistan,Asia,SSW,2.2,3.6,54.0,4.0,0.0,0.0,1011.0,29.84,10.0,6.0,6.0,2.5,4.0
Afghanistan,Asia,W,2.2,3.6,32.5,43.5,0.25,0.01,1010.5,29.835,10.0,6.0,1.0,1.55,2.5
Afghanistan,Asia,WNW,2.2,3.6,48.5,5.0,0.0,0.0,1010.0,29.82,10.0,6.0,1.0,3.9000000000000004,6.3
Afghanistan,Asia,WSW,2.2,3.6,33.5,0.0,0.0,0.0,1009.5,29.81,10.0,6.0,1.0,3.15,5.050000000000001
Albania,Europe,E,2.2,3.6,85.0,0.0,0.0,0.0,1017.3333333333334,30.040000000000003,10.0,6.0,1.0,7.8999999999999995,12.733333333333334
Albania,Europe,ENE,2.2,3.6,47.0,75.0,0.0,0.0,1013.0,29.91,10.0,6.0,1.0,12.8,20.5
Albania,Europe,N,2.2,3.6,100.0,75.0,4.5,0.18,1011.0,29.85,10.0,6.0,1.0,7.8,12.6
Albania,Europe,NNW,10.95,17.65,53.5,75.0,0.0,0.0,1012.5,29.895000000000003,10.0,6.0,1.0,8.35,13.5
Albania,Europe,NW,3.4,5.4,78.5,25.0,0.0,0.0,1014.5,29.955,10.0,6.0,1.0,10.5,16.9
Albania,Europe,S,3.8,6.1,73.0,75.0,0.0,0.0,1006.0,29.71,10.0,6.0,1.0,14.5,23.4
Albania,Europe,SSE,3.8,6.1,88.0,0.0,0.0,0.0,1018.0,30.06,10.0,6.0,1.0,6.9,11.2
Albania,Europe,SSW,3.8,6.1,54.0,75.0,0.0,0.0,1006.0,29.71,10.0,6.0,6.0,7.4,11.9
Algeria,Africa,E,6.35,10.25,63.5,50.0,3.2,0.125,1010.0,29.83,10.0,6.0,1.0,12.75,20.549999999999997
Algeria,Africa,ENE,3.8666666666666667,6.233333333333333,81.33333333333333,25.0,0.0,0.0,1015.0,29.97,10.0,6.0,1.0,10.433333333333334,16.8
Algeria,Africa,NE,6.9,11.2,78.0,25.0,0.0,0.0,1017.0,30.03,10.0,6.0,1.0,10.3,16.6
Algeria,Africa,S,8.1,13.0,29.0,50.0,0.0,0.0,1010.0,29.83,3.5,2.0,1.0,29.8,47.9
Algeria,Africa,SE,2.5,4.0,78.0,25.0,0.0,0.0,1017.0,30.03,10.0,6.0,1.0,14.1,22.7
Algeria,Africa,SSE,2.5,4.0,78.0,25.0,0.0,0.0,1014.0,29.94,10.0,6.0,1.0,11.0,17.6
Algeria,Africa,SSW,4.3,6.8,78.0,25.0,0.0,0.0,1018.0,30.06,10.0,6.0,1.0,8.9,14.4
